재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명		당기			전기	전전기	
손익계산서, 성격별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_NonOperatingProfitLoss	      기타순손익		160,081,113,000			113,188,000	-68,529,000
손익계산서, 성격별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)		136,262,575,000			132,419,635,000	117,603,482,000
손익계산서, 성격별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_BasicEarningsLossPerSharePreferredStock	         우선주기본주당순이익(손실)		6,767			3,353	3,242
손익계산서, 성격별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_DilutedEarningsLossPerSharePreferredStock	         우선주희석주당순이익(손실)		6,767			3,353	3,242
손익계산서, 성격별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	entity00148540_BasicEarningsLossPerShareOfNewPreferenceSharesOfEarningsPerShareOfEarningsPerShareAbstract	         신형우선주 기본주당이익		6,717			3,303	3,192
손익계산서, 성격별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	entity00148540_DilutedEarningsLossPerShareOfNewPreferenceSharesOfEarningsPerShareOfEarningsPerShareAbstract	         신형우선주 희석주당이익		6,717			3,303	3,192
손익계산서, 성격별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주기본주당이익(손실)		6,717			3,303	3,192
손익계산서, 성격별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         보통주희석주당이익(손실)		6,717			3,303	3,192
손익계산서, 성격별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	      금융비용		12,115,119,000			23,467,852,000	8,730,129,000
손익계산서, 성격별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	      금융수익		1,715,055,000			7,114,660,000	2,257,008,000
손익계산서, 성격별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세수익(비용)		60,608,356,000			5,301,395,000	3,923,674,000
손익계산서, 성격별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_OperatingExpense	      영업비용		109,827,640,000			103,307,164,000	141,407,081,000
손익계산서, 성격별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)		225,335,268,000			110,878,236,000	107,138,158,000
손익계산서, 성격별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)		285,943,624,000			116,179,631,000	111,061,832,000
손익계산서, 성격별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_Revenue	      수익(매출액)		246,090,215,000			235,726,799,000	259,010,563,000
손익계산서, 성격별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherRevenue	         기타수익(매출액)		27,557,590,000			5,684,700,000	27,723,812,000
